DATE,S4248SM144NCEN
2011-11-01,7334
2011-12-01,7864
2012-01-01,8093
2012-02-01,8816
2012-03-01,9038
2012-04-01,8435
2012-05-01,8536
2012-06-01,7910
2012-07-01,7779
2012-08-01,7036
2012-09-01,6713
2012-10-01,7084
2012-11-01,7265
2012-12-01,8123
2013-01-01,8322
2013-02-01,8896
2013-03-01,9403
2013-04-01,9239
2013-05-01,8796
2013-06-01,8205
2013-07-01,7817
2013-08-01,7506
2013-09-01,7022
2013-10-01,7510
2013-11-01,7482
2013-12-01,8329
2014-01-01,8522
2014-02-01,9545
2014-03-01,9489
2014-04-01,8939
2014-05-01,8924
2014-06-01,8346
2014-07-01,7835
2014-08-01,7627
2014-09-01,7274
2014-10-01,7743
2014-11-01,8102
2014-12-01,8547
2015-01-01,8999
2015-02-01,9537
2015-03-01,9736
2015-04-01,9573
2015-05-01,8885
2015-06-01,8513
2015-07-01,8131
2015-08-01,7532
2015-09-01,7744
2015-10-01,8123
2015-11-01,8470
2015-12-01,8886
2016-01-01,9408
2016-02-01,10100
2016-03-01,9988
2016-04-01,9898
2016-05-01,9082
2016-06-01,9157
2016-07-01,8487
2016-08-01,8041
2016-09-01,7874
2016-10-01,7982
2016-11-01,8730
2016-12-01,8994
